date;countries;gdp
Q1 2019;UNITED STATES;2.9
Q1 2019;CHINA;6.4
Q1 2019;JAPAN;0.8
Q1 2019;GERMANY;1.1
Q1 2019;INDIA;5.4
Q1 2019;UK;1.7
Q1 2019;FRANCE;1.8
Q1 2019;ITALY;0.4
Q1 2019;BRAZIL;0.8
Q1 2019;CANADA;1.5
Q2 2019;UNITED STATES;1.5
Q2 2019;CHINA;6.2
Q2 2019;JAPAN;0.9
Q2 2019;GERMANY;0.1
Q2 2019;INDIA;5
Q2 2019;UK;1.3
Q2 2019;FRANCE;1.8
Q2 2019;ITALY;0.4
Q2 2019;BRAZIL;1.4
Q2 2019;CANADA;2
Q3 2019;UNITED STATES;2.6
Q3 2019;CHINA;6
Q3 2019;JAPAN;1.7
Q3 2019;GERMANY;0.8
Q3 2019;INDIA;4.4
Q3 2019;UK;1
Q3 2019;FRANCE;1.6
Q3 2019;ITALY;0.5
Q3 2019;BRAZIL;0.7
Q3 2019;CANADA;1.6
Q4 2019;UNITED STATES;2.4
Q4 2019;CHINA;6
Q4 2019;JAPAN;-0.7
Q4 2019;GERMANY;0.4
Q4 2019;INDIA;4.1
Q4 2019;UK;1
Q4 2019;FRANCE;0.7
Q4 2019;ITALY;0.1
Q4 2019;BRAZIL;1.6
Q4 2019;CANADA;1.5
Q1 2020;UNITED STATES;-5.1
Q1 2020;CHINA;-6.8
Q1 2020;JAPAN;-1.9
Q1 2020;GERMANY;-2.1
Q1 2020;INDIA;3.3
Q1 2020;UK;-2.1
Q1 2020;FRANCE;-5.9
Q1 2020;ITALY;-5.5
Q1 2020;BRAZIL;-1.4
Q1 2020;CANADA;-0.9
Q2 2020;UNITED STATES;-31.4
Q2 2020;CHINA;3.2
Q2 2020;JAPAN;-10.3
Q2 2020;GERMANY;-11.2
Q2 2020;INDIA;-23.5
Q2 2020;UK;-21.5
Q2 2020;FRANCE;-18.9
Q2 2020;ITALY;-17.9
Q2 2020;BRAZIL;-11.4
Q2 2020;CANADA;-13.1
Q3 2020;UNITED STATES;33.1
Q3 2020;CHINA;4.9
Q3 2020;JAPAN;-5.9
Q3 2020;GERMANY;-4.2
Q3 2020;INDIA;-8.6
Q3 2020;UK;-9.6
Q3 2020;FRANCE;-11.2
Q3 2020;ITALY;-4.7
Q3 2020;BRAZIL;10.2
Q3 2020;CANADA;-4.6
Q4 2020;UNITED STATES;3.8
Q4 2020;CHINA;6.5
Q4 2020;JAPAN;-5.2
Q4 2020;GERMANY;-6
Q4 2020;INDIA;-11.5
Q4 2020;UK;-11.4
Q4 2020;FRANCE;-9.8
Q4 2020;ITALY;-10.6
Q4 2020;BRAZIL;-4
Q4 2020;CANADA;-7.1
Q1 2021;UNITED STATES;5.9
Q1 2021;CHINA;8
Q1 2021;JAPAN;2.4
Q1 2021;GERMANY;2.3
Q1 2021;INDIA;8.6
Q1 2021;UK;5.5
Q1 2021;FRANCE;4.6
Q1 2021;ITALY;2.1
Q1 2021;BRAZIL;4.3
Q1 2021;CANADA;5.1
Q2 2021;UNITED STATES;4.1
Q2 2021;CHINA;5.4
Q2 2021;JAPAN;2.6
Q2 2021;GERMANY;4.2
Q2 2021;INDIA;5.6
Q2 2021;UK;3
Q2 2021;FRANCE;6
Q2 2021;ITALY;5.2
Q2 2021;BRAZIL;2.7
Q2 2021;CANADA;3.2
